Original_Biased,Gold_Reference,Pred_Baseline (Pivot),Pred_Model 2 (ZeroShot),Pred_Model 3 (Synthetic)
"其轴心是1940年签署三方条约后建立的,奉行强大的军国主义、种族主义和民族主义意识形态,奉行反共政策。","轴心是1940年签署三方条约后建立的,奉行强烈的军国主义和民族主义意识形态,奉行反共政策。",其轴心是在签署三方条约和反共政策之后于1940年确立的。,"其轴心是1940年签署三方条约后建立的,奉行强大的军国主义、种族主义和民族主义意识形态,并奉行的反共政策。","其轴心是1940年签署三方条约后建立的,奉行反共政策。"
住在Jerusalim的Pisgat ze'ev社区。,"内阴是已婚,有两个孩子, 住在东耶鲁沙隆的Pisgat Ze'ev定居点",他住在耶鲁沙林的皮斯加特社区,"住在Jerusalem,住在Pisgat ze'ev社区。",住在Jerusalim的Pisgat ze'ev社区。
"包括瑞安(略微是他们的高年级)的球员在1992年5月帮助俱乐部赢得了青春杯,","这些球员后来帮助俱乐部在1992年5月赢得了青春杯,Beckham在决赛的第二段中得分,与水晶宫殿对决。","包括瑞安(略微高龄)在内, 协助俱乐部在1992年5月赢得青年杯。","包括瑞安(略微是他们的高年级)的一些球员在1992年5月帮助俱乐部赢得了青春杯,","包括瑞安(略微是他们的高年级)的球员在1992年5月帮助俱乐部赢得了青春杯,"
"之后他从小就拾起喇叭, 转而使用长龙, 灵感来自摩洛哥河和巴里罗格的全龙骨声,","他从小就拿起喇叭,后来改用长号,受到蒙河和巴里罗杰的全龙骨声的启发。",然后从小就抓起号角 转向长龙 然后转向龙的声音,"之后他从小就拾起喇叭,转而使用长龙, 灵感来自摩洛哥河和巴里罗格的全龙骨声,",之后他从小就拾起喇叭 转而使用长龙 灵感来自摩洛哥河和巴里罗格的全龙骨声
其内容并不代表南公园、斯坦、凯尔、埃里克和肯尼四大人物的外观。,南方公园、斯坦、凯尔、埃里克和肯尼的四大人物 都未出现任何一幕,内容并不代表四个主要人物中的任何一个人物的外貌:南方公园、斯坦、凯尔和肯尼。,"其内容并不代表南公园,斯坦,凯尔,埃里克和肯尼四大人物外观。",其内容并不代表南公园、斯坦、凯尔、埃里克和肯尼四大人物的外观。
"1964年,Randallstown md的环境研究伙伴承包商利用一所私立学校(Baltimore附近的Mcdonogh学校)游泳池,开发了一个中性浮力模拟能力,以模拟适合压力的科目。","1964年,Randallstown Md的环境研究伙伴承包商开发了中性浮力模拟能力。 这种适合压力的主体的能力最初是在1964年开发的,是在一所私立学校(巴尔蒂莫尔附近的Mcdonogh学校)利用室内游泳池开发的。","1964年,兰德尔敦环境研究伙伴承包商开发了一个中性浮控模拟能力,利用私立学校的人才库模拟适合承受压力的科目。","1964年,Randallstown md的环境研究伙伴承包商利用一所私立学校(Baltimore附近的 mcdonogh学校)游泳池,开发了一个中性浮力模拟能力,以模拟适合压力的科目。","1964年,Randallstown md的环境研究伙伴承包商利用一所私立学校(Baltimore附近的Mcdonogh学校)游泳池,开发了一个中性浮力模拟能力,以模拟适合压力的科目。"
"科学家们声称,三联体是一种抗逆转录病毒药物, 保护小鼠免受辐射, 即由自由激进清扫引起的致命性。","替代和补充药物杂志上刊登的木卫一Kasturba医学院也报告了类似结果,当时科学家声称,三联体是一种ayurvedic rasayana药物,导致伽马辐射1.4灰色的辐射耐受度增加。","3⁄4三氯丁二烯是一种抗逆转录病毒药物 保护小鼠免受辐射, 这是免费的激进清理的致命性。","科学家们声称,三联体是一种抗逆转录病毒药物,保护小鼠免受辐射,即由自由激进清扫引起的致命性。","科学家们声称,三联体是一种抗逆转录病毒药物,保护小鼠免受辐射,即自由激进清扫引起的致命性。"
"一位政治顾问Damian Mcbride在10个下游街上工作, 毫无理由地污蔑一些保守派的音乐, 并送往Derek drapper, 考虑在红布布博客网站上发表。","污点在他的博客上披露, 由在10个下游街上工作的政治顾问Damian Mcbride 撰写了一系列电子邮件, 污蔑一些保守的禁制片,","政治顾问Damien McBride在10个下游街道工作, 将作品寄到Derek Drapper, 考虑在Redbub博客上张贴。","一位政治顾问Damian Mcbride在10个下游街上工作,污蔑了一些保守派的音乐,并送往Derek drapper, 考虑在红布布博客网站上发表。","一位政治顾问Damian Mcbride在10个下游街上工作, 污蔑一些保守派的音乐,"
"特别是由于美国对古巴的封锁(尽管有这种屏障,多年来古巴的一些最优秀的球员已经叛逃到美国,在美国专业联盟中打球),古巴国民是显著的例外。","库巴人(尽管有障碍,多年来库巴人中一些最优秀的球员都叛逃到美国参加美国专业联赛),","显著的例外是古巴国民,特别是由于美国对古巴的封锁,尽管如此,古巴的一些最佳参与者多年来一直叛逃到美国,并在同美国的专业联盟中发挥作用。","特别是由于美国对古巴的封锁(尽管有这种屏障,多年来许多优秀的球员已经叛逃到美国,在美国专业联盟中打球),","特别是由于美国对古巴的封锁(尽管有这种屏障,多年来一些最优秀的球员已经叛逃到美国,在美国专业联盟中打球),古国国民是显著的例外。"
"最常见的,也是最广为接受的, 提议为这个名字命名的 宗教学学 来源于希腊石头, “女性等同的肝脏, 一种模糊的阿波罗的神话。”",一种建议为 hecate 命名的词组 提供来自希腊语头的词组 女性等同的hekatos 一种模糊的单极的外表,"最常见的,也是最广为接受的, 宗教研究, 提议命名这个名字 来源于“女性的同种肝脏, 阿波罗模糊的神话。”","提议为这个名字命名的 宗教学学 来源于希腊石头, “女性等同的肝脏, 一种模糊的阿波罗的神话。”","最常见的,也是最广为接受的, 提议为这个名字命名的 宗教学学 来源于希腊石头, “女性等同的肝脏,一种模糊的阿波罗神话。”"
